fid,LSOA Code,LSOA Name,GeoPackage Unique ID,LSOA IMD Ranking,IMD Decile,Shape__Area,Shape__Length
33680,E01035686,Tower Hamlets 021G,e64e7698-0d30-472c-b366-ba423d2d9132,7069,3,166849.544273376,2734.26343012454
2963,E01003110,Lambeth 002C,be072ed9-9ea8-4659-9d2c-50f8e03e9ae5,17241,6,388624.825195313,3944.55813753099
1635,E01001717,Hackney 007C,53e5d624-90a7-42dd-84cb-f0b2f6a519c6,13095,4,252400.550769806,2754.50803264091
31759,E01033700,Hackney 030B,7ad4626d-9848-44d1-ae02-361f0993114b,13658,5,284357.186878204,3846.18811740243
3458,E01003629,Newham 015E,f89c7f7d-f87e-41dd-adf2-232fca32ba74,7126,3,168137.903785706,1847.48381616605
1048,E01001096,Croydon 037D,41008f17-76c4-4d83-93f4-26ec45ba503b,32188,10,1010504.41372681,6488.11687753303
971,E01001016,Croydon 041B,65bd37f7-3421-4c83-a2d4-d09edd17c6a9,26745,8,2679542.05862427,9645.08219668363
384,E01000399,Bexley 029B,e83b981e-be9b-4e74-99a1-17e464d46759,27365,9,750185.602405548,6458.44364193572
31095,E01032789,Hammersmith and Fulham 023E,37ff09cd-3d7a-4a78-b184-43239da0a26a,20986,7,76966.1757659912,1236.13856026732
4291,E01004528,Wandsworth 035D,a5eda1df-b7ba-4beb-9689-309e1c088777,6892,3,363864.587791443,4125.16509819699
32423,E01034384,Bromley 005G,cef6c785-6ec4-41eb-ba13-6a791e47e47f,20417,7,211469.005825043,3151.34012882092
3040,E01003187,Lambeth 007E,804ff4ae-5724-4948-8612-f9e4167cdeb0,11056,4,365192.834159851,4026.65661770699
802,E01000836,Bromley 030C,15af5db8-4aed-4d4c-a935-58d9ac078708,33433,10,545724.820188642,5338.08566119369
2299,E01002412,Hillingdon 017B,8893b592-465d-437a-b869-dd81f9ea7ca8,16920,6,1838881.29486084,7879.94360586509
2376,E01002489,Hillingdon 030C,6841d247-db24-42c5-ae24-da0d1fa45d57,13165,4,694324.728912354,5277.72065239953
2130,E01002238,Harrow 024B,b4be649c-aa74-4cac-ace7-cfdd6363031e,20306,7,888095.636032104,4622.66056104892
2794,E01002938,Kingston upon Thames 003B,1a9d3e9e-9be6-407b-a09a-9b4ed406e7b3,28080,9,608463.583404541,4989.53492037921
1712,E01001805,Hackney 009B,fdb8c113-faea-4516-9b21-04b22e71f49e,10015,3,380891.338115692,3530.53124039639
209,E01000221,Barnet 039B,2b122dec-5c10-4752-964e-77b6cb732251,4126,2,1090303.703125,7367.55077851128
31688,E01033604,Westminster 009J,1829a5d9-2901-4910-a334-2d6126e01238,2084,1,185898.288459778,3428.33861545255
3627,E01003803,Richmond upon Thames 001G,741c85a7-400c-4967-98c6-7aa951b23ebb,10864,4,523339.486251831,4679.33829395934
138,E01000147,Barnet 043F,7c31701b-d36a-45d7-9829-79b8ec89ed27,14403,5,523413.357177734,4205.03999264636
1489,E01001548,Enfield 002D,2d465e86-fe0f-4439-95c9-61df7a82c985,5162,2,776073.263208389,5707.58467212242
4145,E01004378,Waltham Forest 010D,d331b371-12a8-4433-8c86-4bf426b36c6f,15188,5,561008.174647897,3712.31839600262
3604,E01003780,Redbridge 014G,1ef42717-b252-4436-a8d9-bd7e69afb170,33370,10,776409.479725838,4380.26826786709
33703,E01035709,Camden 022G,4cc53f74-50e1-4590-9e30-8e4d8b830eb1,4238,2,411575.576202393,3944.54325994993
825,E01000861,Camden 019B,52eb2a9c-f68f-45f5-843e-6ddaaf9555a7,7837,3,294395.14125061,3612.86817174854
2153,E01002262,Havering 026C,b24cdf95-3d56-4705-bd04-83cbcc8ac213,20672,7,576440.803512573,4863.97843162134
1612,E01001687,Greenwich 002A,0e20c443-8c5e-488c-9964-4c62faffe6cf,4057,2,1070803.02412415,5085.10302881582
3481,E01003652,Redbridge 015C,c4c8706e-fd72-4222-b4a4-52e694601325,27084,9,437838.125595093,3267.12883786642
407,E01000422,Bexley 002C,c3db8636-8548-4a90-a554-a866cab919c0,8563,3,268500.496696472,4848.46546906196
2276,E01002387,Havering 024B,972479a4-6934-47bb-8d45-ffcf79aaf94c,33677,10,3532895.42025757,14242.9482658329
948,E01000992,Croydon 014A,426c6fd2-0568-4266-aa9d-159281c4711b,7622,3,1270566.45317078,7352.26702998215
